Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
1511;Stare Miasto;wielkopolskie;koniński;GW;Urząd Gminy;Stare Miasto;62-571;Stare Miasto;ul. Główna;16B;(63);241-62-16;;(63);241-65-80;Wójt;Ryszard;Nawrocki;sekretarz@stare-miasto.pl;sekretariat@stare-miasto.pl;www.stare-miasto.pl
1512;Strzałkowo;wielkopolskie;słupecki;GW;Urząd Gminy;Strzałkowo;62-420;Strzałkowo;Aleja Prymasa Wyszyńskiego ;6;(63);275-06-19;;(63);275-02-62;Wójt;Dariusz;Grzywiński;ug@strzalkowo.pl;ug@strzalkowo.pl;www.strzalkowo.pl
1513;Suchy Las;wielkopolskie;poznański;GW;Urząd Gminy;Suchy Las;62-002;Suchy Las;ul. Szkolna;13;(61);892-62-50;;(61);812-52-12;Wójt;Grzegorz;Wojtera;j.nowak@suchylas.pl;ug@suchylas.pl;www.suchylas.pl
1514;Szczytniki;wielkopolskie;kaliski;GW;Urząd Gminy;Szczytniki;62-865;Szczytniki;Szczytniki;139;(62);762-50-15;;(62);762-52-74;Wójt;Marek;Albrecht;ug-szczytniki@everest-pi.com.pl;ug-szczytniki@everest-pi.com.pl;http://www.szczytniki.ug.gov.pl/
1515;Szydłowo;wielkopolskie;pilski;GW;Urząd Gminy;Szydłowo;64-930;Szydłowo;Jaraczewo;2;(67);216-12-35;;(67);216-12-36;Wójt;Dariusz;Chrobak;sekretarz@szydlowo.pl;urzad@szydlowo.pl ;www.szydlowo.pl
1516;Święciechowa;wielkopolskie;leszczyński;GW;Urząd Gminy;Święciechowa;64-115;Święciechowa;ul. Ułańska ;4;(65);533-35-10;;(65);529-95-48;Wójt;Marek;Lorych;sekretarzgminy@swieciechowa.pl;urzadgminy@swieciechowa.pl;www.swieciechowa.pl
1517;Tarnowo Podgórne;wielkopolskie;poznański;GW;Urząd Gminy;Tarnowo Podgórne;62-080;Tarnowo Podgórne;ul. Poznańska ;115;(61);814-62-21;;(61);814-61-18;Wójt;Tadeusz;Czajka;teresa.domagalska@tarnowo-podgorne.pl;ug@tarnowo-podgorne.pl;www.tarnowo-podgorne.pl
1518;Tarnówka;wielkopolskie;złotowski;GW;Urząd Gminy;Tarnówka;77-416;Tarnówka;ul. Zwycięstwa ;2;(67);266-40-02;;(67);266-40-64;Wójt;Ireneusz;Baran;sekretarz@tarnowka.pl;urzad@tarnowka.pl;www.tarnowka.pl
1519;Trzcinica;wielkopolskie;kępiński;GW;Urząd Gminy;Trzcinica;63-620;Trzcinica;ul. Jana Pawła II ;47;(62);781-50-00;;(62);781-50-01;Wójt;Grzegorz;Hadzik;sekretarz@trzcinica.nowoczesnagmina.pl;gmina@trzcinica.nowoczesnagmina.pl;www.trzcinica.com.pl
1520;Turek;wielkopolskie;turecki;GW;Urząd Gminy;Turek;62-700;Turek;ul. Ogrodowa ;4;(63);279-40-70;;(63);279-40-66;Wójt;Karol;Mikołajczyk;ug@gmina.turek.pl;ug@gmina.turek.pl;www.gmina.turek.pl
1521;Wapno;wielkopolskie;wągrowiecki;GW;Urząd Gminy;Wapno;62-120;Wapno;ul. Świerczewskiego;1A;(67);261-14-59;;(67);261-10-19;Wójt;Andrzej;Bąk;wapno@wokiss.pl;wapno@wokiss.pl;www.wapno.pl
1522;Wągrowiec;wielkopolskie;wągrowiecki;GW;Urząd Gminy;Wągrowiec;62-100;Wągrowiec;ul. Cysterska;22;(67);268-08-00;;(67);268-08-03;Wójt;Przemysław;Majchrzak;owsianny@wagrowiec.wlkp.pl;wagrow@wokiss.pl;www.wagrowiec.wlkp.pl
1523;Wierzbinek;wielkopolskie;koniński;GW;Urząd Gminy;Sadlno;62-619;Wierzbinek;Wierzbinek;44;(63);261-13-80;;(63);261-13-81;Wójt;Paweł;Szczepankiewicz;ug@wierzbinek.pl;ug@wierzbinek.pl;www.wierzbinek.pl
1524;Wijewo;wielkopolskie;leszczyński;GW;Urząd Gminy;Wijewo;64-150;Wijewo;ul. Parkowa ;1;(65);549-40-86;;(65);549-47-55;Wójt;Ireneusz;Zając;wijewo@wijewo.pl;wijewo@wijewo.pl;www.wijewo.pl
1525;Wilczyn;wielkopolskie;koniński;GW;Urząd Gminy;Wilczyn;62-550;Wilczyn;ul. Strzelińska ;12D;(63);268-30-32;;(63);268-50-45;Wójt;Grzegorz;Skowroński;wilczyn@bazagmin.pl;wilczyn@bazagmin.pl;http://www.wilczyn.pl/
1526;Władysławów;wielkopolskie;turecki;GW;Urząd Gminy;Władysławów;62-710;Władysławów;Rynek;43;(63);279-50-03;;(63);279-50-03 wew. 70;Wójt;Krzysztof ;Zając;sekretarz@wladyslawow.pl;ug@wladyslawow.pl;www.wladyslawow.pl
1527;Włoszakowice;wielkopolskie;leszczyński;GW;Urząd Gminy;Włoszakowice;64-140;Włoszakowice;ul. Kurpińskiego;29;(65);525-29-99;;(65);537-01-06;Wójt;Stanisław;Waligóra;monika.klemenska@wloszakowice.pl;gmina@wloszakowice.pl;www.wloszakowice.pl
1528;Zakrzewo;wielkopolskie;złotowski;GW;Urząd Gminy;Zakrzewo;77-424;Zakrzewo;ul. Kujańska ;5;(67);266-70-75;;(67);266-73-71;Wójt;Henryk;Dobrosielski;sekretarz@zakrzewo.org.pl;ug_zakrzewo@pro.onet.pl;www.zakrzewo.org.pl
1529;Zaniemyśl;wielkopolskie;średzki;GW;Urząd Gminy;Zaniemyśl;63-020;Zaniemyśl;ul. Średzka;9;(61);285-75-80;;(61);285-74-74;Wójt;Krzysztof ;Urbas;ug@zaniemysl.pl;ug@zaniemysl.pl;www.zaniemysl.pl
1530;Złotów;wielkopolskie;złotowski;GW;Urząd Gminy;Złotów;77-400;Złotów;ul. Leśna;7;(67);263-25-37;11;(67);263-53-05;Wójt;Piotr;Lach;przetarg@gminazlotow.pl;zlotow@gminazlotow.pl;www.gminazlotow.pl
1531;Żelazków;wielkopolskie;kaliski;GW;Urząd Gminy;Żelazków;62-817;Żelazków;Żelazków;138;(62);767-82-63;;(62);769-10-08;Wójt;Andrzej;Nowak;sekretarz@zelazkow.pl;ug@zelazkow.pl;www.zelazkow.pl
Województwo zachodniopomorskie;;;;;;;;;;;;;;;;;;;;;
1532;Banie;zachodniopomorskie ;gryfiński;GW;Urząd Gminy;Banie;74-110;Banie;ul.Skośna;6;(91);416-63-81;;(91);416-63-53;Wójt;Teresa;Sadowska;sekretarz@banie.pl;urzad@banie.pl;www.banie.pl
1533;Będzino;zachodniopomorskie ;koszaliński;GW;Urząd Gminy;Będzino;76-037;Będzino;Będzino;19;(94);316-25-30;;(94);316-23-07;Wójt;Henryk;Broda;ug@bedzino.pl;ug@bedzino.pl;www.bedzino.pl
1534;Białogard;zachodniopomorskie ;białogardzki;GW;Urząd Gminy;Białogard;78-200;Białogard;ul.Wileńska;8;(94);312-06-75;;(94);312-78-44;Wójt;Maciej Adam;Niechciał;sekretariat@-bialogard.pl;sekretariat@-bialogard.pl;www.gmina-bialogard.pl
1535;Bielice;zachodniopomorskie ;pyrzycki;GW;Urząd Gminy;Bielice;74-202;Bielice;ul.Niepokalanej;34;(91);564-42-35;;(91);564-41-73;Wójt;Zdzisław;Twardowski;gmina@bielice.com.pl;gmina@bielice.com.pl;www.bielice.com.pl
1536;Bierzwnik;zachodniopomorskie ;choszczeński;GW;Urząd Gminy;Bierzwnik;73-240;Bierzwnik;ul.Kopernika;2;(95);768-01-30;;(95);7680130 wew. 30;Wójt;Władysław;Kowalczyk;sekretariat@bierzwnik.pl;sekretariat@bierzwnik.pl;www.bierzwnik.pl
1537;Biesiekierz;zachodniopomorskie ;koszaliński;GW;Urząd Gminy;Biesiekierz;76-039;Biesiekierz;Biesiekierz;103;(94);318-03-10;;(94);318-03-10;Wójt;Marian;Hermanowicz;gbiesiekierz@post.pl;sekretariat@biesiekierz.eu;www.biesiekierz.eu
1538;Boleszkowice;zachodniopomorskie ;myśliborski;GW;Urząd Gminy;Boleszkowice;74-407;Boleszkowice;ul. Świerczewskiego;24;(95);760-61-24;;(95);760-61-35;Wójt;Jan;Krzywicki;biuro@boleszkowice.pl;boleszkowice@boleszkowice.pl;www.boleszkowice.pl
1539;Brojce;zachodniopomorskie ;gryficki;GW;Urząd Gminy;Brojce;72-304;Brojce;ul.Długa;48;(91);386-11-94;;(91);386-11-86;Wójt;Stanisław;Gnosowski;ugbrojce@post.pl;ugbrojce@post.pl;www.brojce.net.pl
1540;Brzeżno;zachodniopomorskie ;świdwiński;GW;Urząd Gminy;Brzeżno;78-316;Brzeżno;Brzeżno;50;(94);364-27-40;;(94);364-27-41;Wójt;Jan;Anielski;sekretarz@gmina.brzezno.pl;sekretariat@gmina.brzezno.pl;www.gmina.brzezno.pl
1541;Darłowo;zachodniopomorskie ;sławieński;GW;Urząd Gminy;Darłowo;76-150;Darłowo;ul.Dąbrowskiego;4;(94);344-63-01;;(94);344-63-09;Wójt;Arkadiusz;Klimowicz;sekretarz@ugdarlowo.pl;poczta@ugdarlowo.pl;www.ugdarlowo.pl
1542;Dobra;zachodniopomorskie ;policki;GW;Urząd Gminy;Dobra;72-003;Dobra;ul.Szczecińska ;16A;(91);311-30-48;;(91);424-15-45;Wójt;Teresa;Dera;sekretarz@dobraszczecinska.pl;gmina@dobraszczecinska.pl;www.dobraszczecinska.pl
1543;Dolice;zachodniopomorskie ;stargardzki;GW;Urząd Gminy;Dolice;73-115;Dolice;ul.Ogrodowa;16;(91);564-01-29;;(91);564-02-37;Wójt;Grzegorz;Brochocki;sekretariat@dolice.com.pl;sekretariat@dolice.com.pl;www.dolice.pl
1544;Dygowo;zachodniopomorskie ;kołobrzeski;GW;Urząd Gminy;Dygowo;78-113;Dygowo;ul.Kolejowa;1;(94);358-41-95;;(94);358-41-94;Wójt;Marek;Zawadzki;d.gruchala@dygowo.pl;ug@dygowo.pl;www.dygowo.pl
1545;Gościno;zachodniopomorskie ;kołobrzeski;GW;Urząd Gminy;Gościno;78-120;Gościno;ul.  IV Dywizji Wojska Polskiego;58;(94);351-33-82;;(94);351-33-78;Burmistrz;Marian;Sieradzki;goscino@zgwrp.org.pl;goscino@zgwrp.org.pl;www.goscino.com.pl
1546;Grzmiąca;zachodniopomorskie ;szczecinecki;GW;Urząd Gminy;Grzmiąca;78-450;Grzmiąca;ul.1 Maja;7;(94);373-68-10;;(94);373-68-83;Wójt;Krzysztof Andrzej;Sysko;ug_grzmiaca@zeto.koszalin.pl;ug_grzmiaca@zeto.koszalin.pl;http://www.grzmiaca.org.pl/
1547;Karnice;zachodniopomorskie ;gryficki;GW;Urząd Gminy;Karnice;72-343;Karnice;ul.11 Marca;7;(91);387-72-20;;(91);386-82-19;Wójt;Lech;Puzdrowski;sekretarz@karnice.pl;ug@karnice.pl;www.karnice.pl
1548;Kobylanka;zachodniopomorskie ;stargardzki;GW;Urząd Gminy;Kobylanka;73-108;Kobylanka;ul. Szkolna;12;(91);561-03-10;;(91);578-85-20;Wójt;Andrzej;Kaszubski;jolanta_kazberuk@kobylanka.pl;ugk@kobylanka.pl;www.kobylanka.pl
1549;Kołbaskowo;zachodniopomorskie ;policki;GW;Urząd Gminy;Kołbaskowo;72-001;Kołbaskowo;Kołbaskowo;106;(91);311-95-53;;(91);311-95-10;Wójt;Małgorzata;Schwarz;info@kolbaskowo.pl;info@kolbaskowo.pl;www.kolbaskowo.pl
1550;Kołobrzeg;zachodniopomorskie ;kołobrzeski;GW;Urząd Gminy;Kołobrzeg;78-100;Kołobrzeg ;ul.Trzebiatowska ;48A;(94);353-04-20;;(94);353-04-55;Wójt;Janusz;Gromek;sekretarz@gmina.kolobrzeg.pl;sekretariat@gmina.kolobrzeg.pl;www.gmina.kolobrzeg.pl
1551;Kozielice;zachodniopomorskie ;pyrzycki;GW;Urząd Gminy;Kozielice;74-204;Kozielice;Kozielice;73;(91);561-11-36;;(91);563-03-65;Wójt;Edward;Kiciński;sekretarz@kozielice.pl;sekretariat@kozielice.pl;www.kozielice.pl
1552;Krzęcin;zachodniopomorskie ;choszczeński;GW;Urząd Gminy;Krzęcin;73-231;Krzęcin;ul.Tylna;7;(95);765-52-13;;(95);765-52-13;Wójt;Krzysztof ;Żuchowski;mediewista@o2.pl;ugkrzecin@cil.pl;www.krzecin.pl
1553;Malechowo;zachodniopomorskie ;sławieński;GW;Urząd Gminy;Malechowo;76-142;Malechowo;Malechowo;22A;(94);318-42-13;;(94);318-43-05;Wójt;Jan;Szlufik;sekretarz@malechowo.pl;urzad@malechowo.pl;www.malechowo.pl
1554;Manowo;zachodniopomorskie ;koszaliński;GW;Urząd Gminy;Manowo;76-015;Manowo;Manowo;40;(94);318-32-20;;(94);318-32-89;Wójt;Roman;Kłosowski;sekretarz@manowo.pl;urzad@manowo.pl;www.manowo.pl
1555;Marianowo;zachodniopomorskie ;stargardzki;GW;Urząd Gminy;Marianowo;73-121;Marianowo;ul.Mieszka I ;1;(91);561-38-66;18;(91);561-38-66;Wójt;Elżbieta;Rink;ekretarz@marianowo.pl;ug@marianowo.pl;www.marianowo.pl
1556;Mielno;zachodniopomorskie ;koszaliński;GW;Urząd Gminy;Mielno;76-032;Mielno;ul.Chrobrego;10;(94);345-98-37;;(94);345-98-34;Wójt;Olga;Roszak-Pezała;bienkowski@gmina.mielno.pl;ug@gmina.mielno.pl;www.gmina.mielno.pl
1557;Nowogródek Pomorski;zachodniopomorskie ;myśliborski;GW;Urząd Gminy;Nowogródek Pomorski;74-304;Nowogródek Pomorski;ul.Adama Mickiewicza;15;(95);747-17-60;;(95);747-17-60;Wójt;Tomasz;Pietruszka;sekretariat.gm@nowogrodekpomorski.pl;sekretariat.gm@nowogrodekpomorski.pl;www.nowogrodekpomorski.pl
1558;Osina;zachodniopomorskie ;goleniowski;GW;Urząd Gminy;Osina;72-221;Osina;Osina;64;(91);391-03-90;;(91);391-03-90;Wójt;Krzysztof ;Szwedo;sekretarz@osina.pl;ug@osina.pl;www.osina.pl
1559;Ostrowice;zachodniopomorskie ;drawski;GW;Urząd Gminy;Ostrowice;78-506;Ostrowice;Ostrowice;6;(94);361-52-26;;(94);361-52-26;Wójt;Wacław;Micewski;ugostrowice@post.pl;ugostrowice@post.pl;www.ostrowice.pl
1560;Postomino;zachodniopomorskie ;sławieński;GW;Urząd Gminy;Postomino;76-113;Postomino;Postomino;30;(59);810-85-17;;(59);810-85-84;Wójt;Janusz;Bojkowski;sekretarz@postomino.pl;ug@postomino.pl;www.postomino.pl
1561;Przelewice;zachodniopomorskie ;pyrzycki;GW;Urząd Gminy;Przelewice;74-210;Przelewice;Przelewice;75;(91);564-33-92;;(91);564-30-50;Wójt;Marek;Kibała;sekretarz@przelewice.pl;gmina@przelewice.pl;www.przelewice.pl
1562;Przybiernów;zachodniopomorskie ;goleniowski;GW;Urząd Gminy;Przybiernów;72-110;Przybiernów;ul.Cisowa;3;(91);466-75-30;;(91);466-75-61;Wójt;Tadeusz;Kwiatkowski;sekretariat@przybiernow.com.pl;sekretariat@przybiernow.com.pl;www.przybiernow.com.pl
1563;Radowo Małe;zachodniopomorskie ;łobeski;GW;Urząd Gminy;Radowo Małe;73-314;Radowo Małe;Radowo Małe;21;(91);397-22-22;;(91);397-21-59;Wójt;Józef;Wypijewski;ug@radowomale.pl;ug@radowomale.pl;www.radowomale.pl
1564;Rąbino;zachodniopomorskie ;świdwiński;GW;Urząd Gminy;Rąbino;78-331;Rąbino;Rąbino;27;(94);364-33-47;;(94);364-33-47;Wójt;Krzysztof ;Majewski;sekretarz@rabino.pl;sekretariat@rabino.pl;www.bip.rabino.pl
1565;Rewal;zachodniopomorskie ;gryficki;GW;Urząd Gminy;Rewal;72-344;Rewal;ul. Mickiewicza;19;(91);384-90-11;;(91);384-90-29;Wójt;Robert;Skraburski;sekretarz@rewal.pl;ug@rewAl.pl;www.rewAl.pl
1566;Rymań;zachodniopomorskie ;kołobrzeski;GW;Urząd Gminy;Rymań;78-125;Rymań;ul. Szkolna;7;(94);358-31-27;;(94);358-31-51;Wójt;Mirosław;Terlecki;k.golik@ryman.pl;ug@ryman.home.pl;http://www.ryman.pl/
1567;Siemyśl;zachodniopomorskie ;kołobrzeski;GW;Urząd Gminy;Siemyśl;78-123;Siemyśl;ul. Kołobrzeska;14;(94);358-80-13;;(94);358-80-13 wew. 15;Wójt;Marek;Dołkowski;k.pelechaty@siemysl.pl;ug_siemysl@post.pl;www.siemysl.pl
1568;Sławno;zachodniopomorskie ;sławieński;GW;Urząd Gminy;Sławno;76-100;Sławno;ul. M.C. Skłodowskiej;9;(59);810-75-26;;(59);810-75-26;Wójt;Ryszard;Stachowiak;sekretarz@gminaslawno.pl;sekretariat@gminaslawno.pl;www.gminaslawno.pl
1569;Sławoborze;zachodniopomorskie ;świdwiński;GW;Urząd Gminy;Sławoborze;78-314;Sławoborze;ul.Kolejowa;8;(94);364-75-59;;(94);364-75-59;Wójt;Marcin;Książek;ug@slawoborze.pl;ug@slawoborze.pl;www.slawoborze.pl
1570;Stara Dąbrowa;zachodniopomorskie ;stargardzki;GW;Urząd Gminy;Stara Dąbrowa;73-112;Stara Dąbrowa;Stara Dąbrowa;20;(91);573-98-20;;(91);573-98-22;Wójt;Mieczysław;Włodarczyk; sekretarz@staradabrowa.pl;sekretariat@staradabrowa.pl;www.staradabrowa.pl
1571;Stare Czarnowo;zachodniopomorskie ;gryfiński;GW;Urząd Gminy;Stare Czarnowo;74-106;Stare Czarnowo;ul. Św. Floriana;10;(91);312-42-01;39;(91);312-41-31;Wójt;Marek;Woś;sekretarz@stareczarnowo.pl;kancelaria@stareczarnowo.pl;www.stareczarnowo.pl
1572;Stargard Szczeciński;zachodniopomorskie ;stargardzki;GW;Urząd Gminy;Stargard Szczeciński;73-110;Stargard Szczeciński;ul. Rynek Staromiejski;5;(91);561-34-10;;(91);561-34-11;Wójt;Kazimierz;Szarżanowicz; sekretarz@gmina.stargard.pl;sekretariat@gmina.stargard.pl;www.gmina.stargard.pl
1573;Stepnica;zachodniopomorskie ;goleniowski;GW;Urząd Gminy;Stepnica;72-112;Stepnica;ul. T. Kościuszki;4;(91);418-85-21;;(91);418-85-80;Wójt;Andrzej;Wyganowski;ug@stepnica.pl;ug@stepnica.pl;www.stepnica.pl
1574;Szczecinek;zachodniopomorskie ;szczecinecki;GW;Urząd Gminy;Szczecinek;78-400;Szczecinek;ul. Pilska;3;(94);374-32-48;;(94);374-20-08;Wójt;Janusz;Babiński;gminaszczecinek@wp.pl;gminaszczecinek@wp.pl;www.szczecinekgmina.pl
1575;Świdwin;zachodniopomorskie ;świdwiński;GW;Urząd Gminy;Świdwin;78-300;Świdwin;Pl.Konstytucji 3 Maja;1;(94);365-20-15;;(94);365-35-68;Wójt;Zdzisław;Pawelec;sekretarz@swidwin.gmina.pl;poczta@swidwin.gmina.pl;www.swidwin.gmina.pl
1576;Świerzno;zachodniopomorskie ;kamieński;GW;Urząd Gminy;Świerzno;72-405;Świerzno;Świerzno;13;(91);383-27-23;14;(91);383-27-23;Wójt;Krzysztof ;Atras;usc@swierzno.pl;ug@swierzno.pl;www.swierzno.pl
1577;Świeszyno;zachodniopomorskie ;koszaliński;GW;Urząd Gminy;Świeszyno;76-024;Świeszyno;Świeszyno;71;(94);316-01-23;;(94);316-14-91;Wójt;Ryszard;Osiowy;gmina@swieszyno.pl;gmina@swieszyno.pl;www.swieszyno.pl
1578;Tychowo;zachodniopomorskie ;białogardzki;GW;Urząd Gminy;Tychowo;78-220;Tychowo;ul. Bobolicka;17;(94);311-51-30;;(94);311-55-66;Wójt;Elżbieta;Wasiak;gmina@tychowo.pl;gmina@tychowo.pl;www.tychowo.pl
1579;Ustronie Morskie;zachodniopomorskie ;kołobrzeski;GW;Urząd Gminy;Ustronie Morskie;78-111;Ustronie Morskie;ul. Rolna;2;(94);351-55-35;;(94);351-55-97;Wójt;Jerzy;Kołakowski;ustronie-mor@post.pl;ustronie-mor@post.pl;www.ustronie-morskie.pl
1580;Wałcz;zachodniopomorskie ;wałecki;GW;Urząd Gminy;Wałcz;78-600;Wałcz;ul. Dąbrowskiego;8;(67);258-02-41;;(67);258-02-41;Wójt;Piotr;Świderski;sekretarz@ug.walcz.pl;walcz@walcz.ug.gov.pl;www.walcz.ug.gov.pl
1581;Warnice;zachodniopomorskie ;pyrzycki;GW;Urząd Gminy;Warnice;74-201;Warnice;Warnice;66;(91);561-28-17;;(91);578-32-84;Wójt;Anna;Hackiewicz-Gębska;sekretarz@warnice.pl;wojt@warnice.pl;www.warnice.pl
1582;Widuchowa;zachodniopomorskie ;gryfiński;GW;Urząd Gminy;Widuchowa;74-120;Widuchowa;ul. Grunwaldzka;8;(91);416-72-55;;(91);416-72-55;Wójt;Michał;Lidwin;org@widuchowa.pl;org@widuchowa.pl;www.widuchowa.pl
1583;Wierzchowo;zachodniopomorskie ;drawski;GW;Urząd Gminy;Wierzchowo;78-530;Wierzchowo;ul. Długa;29;(94);361-83-27;;(94);361-84-87;Wójt;Jan;Szewczyk;sekretarz@wierzchowo.pl;wierzchowo@wierzchowo.pl;www.wierzchowo.pl
Województwo kujawsko-pomorskie;;;;;;;;;;;;;;;;;;;;;
1.;Grudziądz;kujawsko-pomorskie;Grudziądz;MNP;Urząd Miasta Grudziądz;Grudziądz;86-300;Grudziądz;ul. Ratuszowa;1;(56);451-02-00;;(56);462-58-12;Prezydent;Robert;Malinowski;sekretarz@um.grudziadz.pl;bip@um.grudziadz.pl;www.grudziadz.pl
2.;Bydgoszcz;kujawsko-pomorskie;Bydgoszcz;MNP;Urząd Miasta Bydgoszczy;Bydgoszcz;85-102;Bydgoszcz;ul. Jezuicka ;1;(52);585-83-15;;(52);585-83-01;Prezydent;Rafał;Bruski;sekretarz@um.bydgoszcz.pl;urzad@um.bydgoszcz.pl;www.bydgoszcz.pl
3.;Toruń;kujawsko-pomorskie;Toruń;MNP;Urząd Miasta Torunia;Toruń;87-100;Toruń;ul. Wały gen. Sikorskiego;8;(56);622-25-55;;(56);655-58-11;Prezydent;Michał;Zaleski;sekretarz@um.torun.pl;prezydent@um.torun.pl;www.torun.pl
4.;Włocławek;kujawsko-pomorskie;Włocławek;MNP;Urząd Miasta Włocławek;Włocławek;87-800;Włocławek;ul. Zielony Rynek;11/13;(54);411-35-00;;(54);411-36-00;Prezydent;Andrzej;Pałucki;wkonopczynska@um.wloclawek.pl;poczta@um.wloclawek.pl;www.wloclawek.pl
Województwo opolskie;;;;;;;;;;;;;;;;;;;;;
5.;Opole;opolskie;Opole;MNP;Urząd Miasta Opola;Opole;45-015;Opole;Rynek Ratusz;;(77);451-18-02;;(77);451-18-02;Prezydent;Ryszard;Zembaczyński;Jolanta.Cisek@um.opole.pl;urzad@um.opole.pl;www.opole.pl
Województwo podlaskie;;;;;;;;;;;;;;;;;;;;;
6.;Suwałki;podlaskie;Suwałki;MNP;Urząd Miejski w Suwałkach;Suwałki;16-400;Suwałki;ul. Mickiewicza;1;(87);562-81-02;;(87);566-30-98;Prezydent;Czesław;Renkiewicz;sekretarz@um.suwalki.pl;bip@um.suwalki.pl;www.um.suwalki.pl
7.;Łomża;podlaskie;Łomża;MNP;Urząd Miejski w Łomży;Łomża;18-400;Łomża;ul. Stary Rynek ;14;(86);215-67-00;;(86);216-45-56;Prezydent;Mieczysław Leon;Czerniawski;ratusz@um.lomza.pl;ratusz@um.lomza.pl;www.lomza.pl
8.;Białystok;podlaskie;Białystok;MNP;Urząd Miejski w Białymstoku;Białystok;15-950;Białystok;ul. Słonimska;1;(85);869-69-61;;(85);869-62-65;Prezydent;Tadeusz;Truskolaski;sekretarz@um.bialystok.pl;prezydent@um.bialystok.pl;www.bialystok.pl
Województwo pomorskie;;;;;;;;;;;;;;;;;;;;;
9.;Słupsk;pomorskie;Słupsk;MNP;Urząd Miasta Słupsk;Słupsk;76-200;Słupsk;Plac Zwycięstwa;3;(59);842-42-20;;(59);842-35-83;Prezydent;Maciej Tadeusz;Kobyliński;sekretarz@um.slupsk.pl;urzad@um.slupsk.pl;www.slupsk.pl
10.;Gdańsk;pomorskie;Gdańsk;MNP;Urząd Miasta Gdańska;Gdańsk;80-803;Gdańsk;ul. Nowe Ogrody;8/12;(58);323-63-14;;(58);302-01-34;Prezydent;Paweł;Adamowicz;d.janczarek@gdansk.gda.pl;umg@gdansk.gda.pl;www.gdansk.pl
11.;Gdynia;pomorskie;Gdynia;MNP;Urząd Miasta Gdyni;Gdynia;81-382;Gdynia;Al. Marszałka Piłsudskiego;52/54;(58);668-80-00;;(58);620-97-98;Prezydent;Wojciech;Szczurek;sekr.a@gdynia.pl;umgdynia@gdynia.pl;www.gdynia.pl
12.;Sopot;pomorskie;Sopot;MNP;Urząd Miasta Sopotu;Sopot;81-704;Sopot;ul. Kościuszki;25/27;(58);521-36-00;;(58);551-26-87;Prezydent;Jacek;Karnowski;sekret@sopot.pl; kancelaria@sopot.pl;www.sopot.pl
Województwo wielkopolskie;;;;;;;;;;;;;;;;;;;;;
13.;Konin;wielkopolskie;Konin;MNP;Urząd Miasta Konin;Konin;62-500;Konin;Plac Wolności;1;(63);240-12-01;;(63);242-99-20;Prezydent;Józef;Nowicki;mzawidzki@konet.pl;um_konin@konet.pl;www.konin.pl
14.;Kalisz;wielkopolskie;Kalisz;MNP;Urząd Miejski w Kaliszu;Kalisz;62-800;Kalisz;Główny Rynek;20;(62);765-43-01;;(62);764-20-32;Prezydent;Janusz;Pęcherz;sekretarz@um.kalisz.pl;umkalisz@um.kalisz.pl;www.kalisz.pl
15.;Leszno;wielkopolskie;Leszno;MNP;Urząd Miasta Leszna;Leszno;64-100;Leszno;ul. Kazimierza Karasia;15;(65);529-81-10;;(65);529-81-31;Prezydent;Tomasz;Malepszy;dziamski@leszno.pl;um@leszno.pl;www.leszno.pl
16.;Poznań;wielkopolskie;Poznań;MNP;Urząd Miasta Poznania;Poznań;61-841;Poznań;Plac Kolegiacki;17;(61);878-53-06;;(61);852-92-75;Prezydent;Ryszard;Grobelny;prezydent@um.poznan.pl;prezydent@um.poznan.pl;www.poznan.pl
Województwo lubelskie;;;;;;;;;;;;;;;;;;;;;
17.;Biała Podlaska;lubelskie;Biała Podlaska;MNP;Urząd Miasta Biała Podlaska;Biała Podlaska;21-500;Biała Podlaska;ul. Marszałka Józefa Piłsudskiego;3;(83);343-66-92;;(83);343-70-64;Prezydent;Andrzej;Czapski;sekretarzbp@bialapodlaska.pl;um@bialapodlaska.pl;www.bialapodlaska.pl
18.;Lublin;lubelskie;Lublin;MNP;Urząd Miasta Lublin;Lublin;20-950;Lublin;Plac Króla Władysława Łokietka;1;(81);466-20-00;;(81);466-20-01;Prezydent;Krzysztof;Żuk;sekretarz@lublin.eu;urzad_miasta@lublin.eu;www.um.lublin.eu
19.;Zamość;lubelskie;Zamość;MNP;Urząd Miasta Zamość;Zamość;22-400;Zamość;ul. Rynek Wielki;13;(84);639-20-84;;(84);639-20-84;Prezydent;Marcin;Zamoyski;mayor@zamosc.um.gov.pl;mayor@zamosc.um.gov.pl;www.zamosc.pl
20.;Chełm;lubelskie;Chełm;MNP;Urząd Miasta Chełm;Chełm;22-100;Chełm;ul. Lubelska;65;(82);565-46-10;;(82);565-22-54;Prezydent;Agata;Fisz;info@chelm.pl;info@chelm.pl;www.chelm.pl
Województwo śląskie;;;;;;;;;;;;;;;;;;;;;
